Company,Year,Sector,Quarters_Available,Data_Complete,Revenue_Annual,Net_Income_Annual,Operating_Cash_Flow_Annual,Gross_Profit_Annual,Operating_Income_Annual,Equity_EOY,Profit_Margin_Annual,OCF_Margin_Annual,Operating_Margin_Annual,ROE_Annual,OCF_Category,OCF_Comparable,Gross_Margin_Annual,Revenue_YoY_Pct,Financial_Health_Score
Amazon,2020,Technology,1,Partial,260509000000.0,6331000000.0,55292000000.0,,6194000000.0,93404000000.0,2.43,21.22,2.38,6.78,Operating Cash Flow,Yes,,,29.8
Amazon,2021,Technology,1,Partial,332410000000.0,19041000000.0,54671000000.0,,4852000000.0,138245000000.0,5.73,16.45,1.46,13.77,Operating Cash Flow,Yes,,27.6,20.1
Amazon,2022,Technology,2,Partial,486013000000.0,-3000000000.0,48630000000.0,,12828000000.0,146043000000.0,-0.62,10.01,2.64,-2.05,Operating Cash Flow,Yes,,46.2,3.0
Amazon,2023,Technology,1,Partial,404824000000.0,9879000000.0,21217000000.0,,23643000000.0,201875000000.0,2.44,5.24,5.84,4.89,Operating Cash Flow,Yes,,-16.7,7.2
Amazon,2024,Technology,1,Partial,158877000000.0,15328000000.0,25971000000.0,,17411000000.0,285970000000.0,9.65,16.35,10.96,5.36,Operating Cash Flow,Yes,,-60.8,11.5
Amazon,2025,Technology,1,Partial,180169000000.0,21187000000.0,35525000000.0,,17422000000.0,369631000000.0,11.76,19.72,9.67,5.73,Operating Cash Flow,Yes,,13.4,20.3
Apple,2020,Technology,1,Partial,209817000000.0,11253000000.0,60098000000.0,22680000000.0,51513000000.0,66224000000.0,5.36,28.64,24.55,16.99,Operating Cash Flow,Yes,10.81,,51.4
Apple,2021,Technology,1,Partial,282457000000.0,74129000000.0,83838000000.0,35255000000.0,85163000000.0,71932000000.0,26.24,29.68,30.15,103.05,Operating Cash Flow,Yes,12.48,34.6,62.8
Apple,2022,Technology,1,Partial,82959000000.0,19442000000.0,98024000000.0,132687000000.0,23076000000.0,56727000000.0,23.44,118.16,27.82,34.27,Operating Cash Flow,Yes,159.94,-70.6,78.6
Apple,2023,Technology,1,Partial,81797000000.0,19881000000.0,88945000000.0,128721000000.0,22998000000.0,74100000000.0,24.31,108.74,28.12,26.83,Operating Cash Flow,Yes,157.37,-1.4,87.5
Apple,2024,Technology,1,Partial,296105000000.0,21448000000.0,91443000000.0,136804000000.0,25352000000.0,66758000000.0,7.24,30.88,8.56,32.13,Operating Cash Flow,Yes,46.2,262.0,47.7
