Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector,ROE_Adjusted,ROE_Flag,OCF_Category,Cash_Flow_Margin_Adj,JPMorgan_OCF_Note,Has_Financial_Data,Data_Period_Note,Revenue_YoY_Growth,Revenue_TTM,Net_Income_TTM,Operating_Cash_Flow_TTM,Profit_Margin_Clean,FHS_PM_Score,FHS_CFM_Score,ROE_for_FHS,FHS_V2
Amazon,1018724,10-Q,2021-07-30,2020-03-31,2020,1,,,,,,65272000000.0,,,,,,Technology,,,Operating,,,0,Q1 2020 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2022-07-29,2021-03-31,2021,1,,,,,,103320000000.0,,,,,,Technology,,,Operating,,,0,Q1 2021 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2023-08-04,2022-03-31,2022,1,,,,,,134001000000.0,,,,,,Technology,,,Operating,,,0,Q1 2022 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2024-08-02,2023-03-31,2023,1,,,,,,154526000000.0,,,,,,Technology,,,Operating,,,0,Q1 2023 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2025-08-01,2024-03-31,2024,1,,,,,,216661000000.0,,,,,,Technology,,,Operating,,,0,Q1 2024 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2025-08-01,2025-03-31,2025,1,,,,,,305867000000.0,,,,,,Technology,,,Operating,,,0,Q1 2025 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2021-10-29,2020-06-30,2020,2,,,,,,73728000000.0,,,,,,Technology,,,Operating,,,0,Q2 2020 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2022-10-28,2021-06-30,2021,2,,,,,,114803000000.0,,,,,,Technology,,,Operating,,,0,Q2 2021 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2023-08-04,2022-06-30,2022,2,121234000000.0,,3317000000.0,-5872000000.0,8965000000.0,131402000000.0,-4.84352574360328,,2.736031146378078,-4.468729547495472,7.394790240361615,Technology,-4.468729547495472,,Operating,7.394790240361615,,1,Q2 2022,,,,,-4.84352574360328,0.0,5.667280164336386,-4.468729547495472,1.7
Amazon,1018724,10-Q,2024-11-01,2023-06-30,2023,2,,,,,,168602000000.0,,,,,,Technology,,,Operating,,,0,Q2 2023 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2025-10-31,2024-06-30,2024,2,,,,,,236447000000.0,,,,,,Technology,,,Operating,,,0,Q2 2024 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2025-10-31,2025-06-30,2025,2,,,,,,333775000000.0,,,,,,Technology,,,Operating,,,0,Q2 2025 - Balance Sheet Only,,,,,,,,,
