Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector
Amazon,1018724,10-Q,2021-07-30,2020-03-31,2020,1,,,,,,65272000000.0,,,,,,Technology
Amazon,1018724,10-Q,2021-10-29,2020-06-30,2020,2,,,,,,73728000000.0,,,,,,Technology
Amazon,1018724,10-Q,2021-10-29,2020-09-30,2020,3,260509000000.0,,6194000000.0,6331000000.0,55292000000.0,82775000000.0,2.4302423332783127,,2.3776529793596386,7.648444578677137,21.224602604900404,Technology
Amazon,1018724,10-Q,2022-10-28,2020-12-31,2020,4,,,,,,93404000000.0,,,,,,Technology
Amazon,1018724,10-Q,2022-07-29,2021-03-31,2021,1,,,,,,103320000000.0,,,,,,Technology
Amazon,1018724,10-Q,2022-10-28,2021-06-30,2021,2,,,,,,114803000000.0,,,,,,Technology
Amazon,1018724,10-Q,2022-10-28,2021-09-30,2021,3,332410000000.0,,4852000000.0,19041000000.0,54671000000.0,120564000000.0,5.728167022652748,,1.459643211696399,15.793271623370162,16.44685779609518,Technology
Amazon,1018724,10-Q,2023-08-04,2021-12-31,2021,4,,,,,,138245000000.0,,,,,,Technology
Amazon,1018724,10-Q,2023-08-04,2022-03-31,2022,1,,,,,,134001000000.0,,,,,,Technology
Amazon,1018724,10-Q,2023-08-04,2022-06-30,2022,2,121234000000.0,,3317000000.0,-5872000000.0,8965000000.0,131402000000.0,-4.84352574360328,,2.7360311463780786,-4.468729547495472,7.3947902403616155,Technology
Amazon,1018724,10-Q,2022-10-28,2022-09-30,2022,3,364779000000.0,,9511000000.0,2872000000.0,39665000000.0,137489000000.0,0.7873260247985767,,2.6073321106752307,2.088894384278015,10.873707093884242,Technology
Amazon,1018724,10-Q,2024-11-01,2022-12-31,2022,4,,,,,,146043000000.0,,,,,,Technology
Amazon,1018724,10-Q,2024-08-02,2023-03-31,2023,1,,,,,,154526000000.0,,,,,,Technology
Amazon,1018724,10-Q,2024-11-01,2023-06-30,2023,2,,,,,,168602000000.0,,,,,,Technology
Amazon,1018724,10-Q,2024-11-01,2023-09-30,2023,3,404824000000.0,,23643000000.0,9879000000.0,21217000000.0,182973000000.0,2.4403197438887023,,5.840315791553861,5.399157252709416,5.241043021164753,Technology
Amazon,1018724,10-Q,2025-10-31,2023-12-31,2023,4,,,,,,201875000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-08-01,2024-03-31,2024,1,,,,,,216661000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-10-31,2024-06-30,2024,2,,,,,,236447000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-10-31,2024-09-30,2024,3,158877000000.0,,17411000000.0,15328000000.0,25971000000.0,259151000000.0,9.647714898946983,,10.95879202150091,5.914698380480878,16.346607753167543,Technology
Amazon,1018724,10-Q,2025-10-31,2024-12-31,2024,4,,,,,,285970000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-08-01,2025-03-31,2025,1,,,,,,305867000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-10-31,2025-06-30,2025,2,,,,,,333775000000.0,,,,,,Technology
Amazon,1018724,10-Q,2025-10-31,2025-09-30,2025,3,180169000000.0,,17422000000.0,21187000000.0,35525000000.0,369631000000.0,11.759514677885763,,9.669810011711228,5.731932657163495,19.717598476985497,Technology
Apple,320193,10-Q,2021-07-28,2020-03-31,2020,1,,,,,,78425000000.0,,,,,,Technology
Apple,320193,10-Q,2021-07-28,2020-06-30,2020,2,209817000000.0,22680000000.0,51513000000.0,11253000000.0,60098000000.0,72282000000.0,5.363245113598993,10.809419637112342,24.551394786885712,15.568191250933843,28.64305561513128,Technology
Apple,320193,10-Q,2022-07-29,2020-09-30,2020,3,,,,,,65339000000.0,,,,,,Technology
Apple,320193,10-Q,2022-04-29,2020-12-31,2020,4,,,,,,66224000000.0,,,,,,Technology
Apple,320193,10-Q,2022-07-29,2021-03-31,2021,1,,,,,,69178000000.0,,,,,,Technology
